AREA_CODE,AREA_NAME,COMPONENT,SEX,AGE_GROUP,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047
E09000022,Lambeth,Internal migration in,males,34,529.381,554.681,575.652,576.899,571.265,589.944,592.838,602.586,615.364,611.614,620.098,614.925,611.794,620.055,638.163,655.248,654.696,649.014,658.742,676.748,674.281,678.943,686.066,685.73,673.341
E09000022,Lambeth,Internal migration in,males,35,363.74,382.844,397.685,405.156,404.625,400.478,414.579,417.158,424.581,433.507,430.814,436.702,433.277,431.072,436.849,449.268,461.254,460.882,456.825,463.534,475.942,474.239,477.412,482.313,482.057
E09000022,Lambeth,Internal migration in,males,36,330.146,349.512,363.472,370.976,376.118,375.59,372.229,385.59,388.028,394.726,403.029,400.637,405.99,402.76,400.676,405.915,417.284,428.276,427.966,424.276,430.435,441.878,440.301,443.23,447.765
E09000022,Lambeth,Internal migration in,males,37,310.605,316.784,331.822,338.957,344.555,348.946,348.997,346.382,358.645,360.677,366.732,374.453,372.318,377.2,374.158,372.175,376.934,387.349,397.426,397.18,393.813,399.471,410.018,408.555,411.262
E09000022,Lambeth,Internal migration in,males,38,282.454,290.295,293.833,302.976,307.935,312.904,317.068,317.66,315.444,326.227,327.88,333.188,340.185,338.362,342.712,339.892,338.046,342.284,351.629,360.665,360.484,357.489,362.58,372.118,370.799
E09000022,Lambeth,Internal migration in,males,39,256.476,266.624,271.633,271.331,278.656,282.814,287.659,291.798,292.507,290.427,300.041,301.435,306.194,312.644,311.031,314.97,312.343,310.626,314.465,322.963,331.204,331.071,328.364,333.012,341.756
E09000022,Lambeth,Internal migration in,males,40,211.325,214.887,221.524,222.86,221.848,227.983,231.899,236.301,239.658,240.321,238.617,246.484,247.658,251.577,256.864,255.558,258.879,256.715,255.265,258.405,265.329,272.068,271.982,269.771,273.554
E09000022,Lambeth,Internal migration in,males,41,195.433,193.917,195.83,199.625,200.32,199.539,205.267,208.846,212.866,215.81,216.391,214.833,221.737,222.676,226.122,230.873,229.736,232.687,230.719,229.386,232.17,238.338,244.353,244.296,242.343
E09000022,Lambeth,Internal migration in,males,42,182.828,184.1,181.872,181.687,184.812,185.449,184.994,190.457,193.75,197.42,200.044,200.592,199.159,205.403,206.212,209.341,213.749,212.726,215.425,213.587,212.353,214.904,220.565,226.093,226.053
E09000022,Lambeth,Internal migration in,males,43,170.422,171.198,171.305,167.834,167.196,170.124,170.82,170.751,175.789,178.662,181.957,184.344,184.852,183.498,189.118,189.791,192.598,196.653,195.756,198.211,196.494,195.349,197.668,202.838,207.902
E09000022,Lambeth,Internal migration in,males,44,157.253,162.81,162.653,161.29,157.85,157.311,160.268,161.098,161.162,165.834,168.42,171.486,173.665,174.153,172.852,178.058,178.63,181.221,185.05,184.224,186.519,184.883,183.798,185.958,190.795
